"Time Frame" ,"Location Id" ,"Location"                 ,"Lodged Bonds" ,"Active Bonds" ,"Closed Bonds" ,"Median Rent" ,"Geometric Mean Rent" ,"Upper Quartile Rent" ,"Lower Quartile Rent" ,"Log Std Dev Weekly Rent"
"1993-02-01" ,"-99"         ,"ALL"                      ,"9,147"        ,"95583"        ,"7,155"        ,"150"         ,"151"                 ,"200"                 ,"120"                 ,"0.43"
"1993-02-01" ,"-1"          ,"NA"                       ,"525"          ,"6264"         ,"432"          ,"130"         ,"127"                 ,"165"                 ,"100"                 ,"0.47"
"1993-02-01" ,"1"           ,"Northland Region"         ,"174"          ,"1824"         ,"141"          ,"120"         ,"118"                 ,"145"                 ,"100"                 ,"0.30"
"1993-02-01" ,"2"           ,"Auckland Region"          ,"2,343"        ,"30315"        ,"1,962"        ,"180"         ,"186"                 ,"220"                 ,"150"                 ,"0.36"
"1993-02-01" ,"3"           ,"Waikato Region"           ,"888"          ,"8475"         ,"690"          ,"120"         ,"124"                 ,"158"                 ,"100"                 ,"0.34"
"1993-02-01" ,"4"           ,"Bay of Plenty Region"     ,"429"          ,"4869"         ,"366"          ,"140"         ,"134"                 ,"160"                 ,"120"                 ,"0.29"
"1993-02-01" ,"5"           ,"Gisborne Region"          ,"87"           ,"765"          ,"60"           ,"120"         ,"120"                 ,"140"                 ,"108"                 ,"0.24"
"1993-02-01" ,"6"           ,"Hawke's Bay Region"       ,"234"          ,"2931"         ,"219"          ,"140"         ,"133"                 ,"155"                 ,"120"                 ,"0.26"
"1993-02-01" ,"7"           ,"Taranaki Region"          ,"237"          ,"2388"         ,"180"          ,"130"         ,"128"                 ,"160"                 ,"110"                 ,"0.36"
"1993-02-01" ,"8"           ,"Manawatu-Wanganui Region" ,"804"          ,"5631"         ,"549"          ,"140"         ,"142"                 ,"200"                 ,"110"                 ,"0.47"
"1993-02-01" ,"9"           ,"Wellington Region"        ,"957"          ,"11997"        ,"819"          ,"170"         ,"171"                 ,"215"                 ,"130"                 ,"0.39"
"1993-02-01" ,"12"          ,"West Coast Region"        ,"24"           ,"447"          ,"24"           ,"120"         ,"99"                  ,"130"                 ,"80"                  ,"0.37"
"1993-02-01" ,"13"          ,"Canterbury Region"        ,"1,209"        ,"10812"        ,"855"          ,"150"         ,"151"                 ,"195"                 ,"120"                 ,"0.39"
"1993-02-01" ,"14"          ,"Otago Region"             ,"891"          ,"5184"         ,"573"          ,"155"         ,"150"                 ,"220"                 ,"120"                 ,"0.55"
"1993-02-01" ,"15"          ,"Southland Region"         ,"144"          ,"1458"         ,"99"           ,"100"         ,"94"                  ,"115"                 ,"85"                  ,"0.28"
"1993-02-01" ,"16"          ,"Tasman Region"            ,"33"           ,"321"          ,"27"           ,"140"         ,"125"                 ,"166"                 ,"110"                 ,"0.43"
"1993-02-01" ,"17"          ,"Nelson Region"            ,"114"          ,"1203"         ,"108"          ,"150"         ,"146"                 ,"180"                 ,"130"                 ,"0.26"
"1993-02-01" ,"18"          ,"Marlborough Region"       ,"51"           ,"696"          ,"51"           ,"130"         ,"123"                 ,"150"                 ,"110"                 ,"0.20"
"1993-03-01" ,"-99"         ,"ALL"                      ,"7,812"        ,"96621"        ,"6,771"        ,"150"         ,"148"                 ,"180"                 ,"120"                 ,"0.38"
"1993-03-01" ,"-1"          ,"NA"                       ,"477"          ,"6285"         ,"456"          ,"130"         ,"127"                 ,"160"                 ,"100"                 ,"0.42"
"1993-03-01" ,"1"           ,"Northland Region"         ,"198"          ,"1851"         ,"171"          ,"120"         ,"119"                 ,"144"                 ,"100"                 ,"0.26"
"1993-03-01" ,"2"           ,"Auckland Region"          ,"2,304"        ,"30660"        ,"1,959"        ,"180"         ,"182"                 ,"220"                 ,"150"                 ,"0.35"
"1993-03-01" ,"3"           ,"Waikato Region"           ,"765"          ,"8664"         ,"576"          ,"125"         ,"126"                 ,"160"                 ,"100"                 ,"0.32"
"1993-03-01" ,"4"           ,"Bay of Plenty Region"     ,"504"          ,"4971"         ,"402"          ,"143"         ,"136"                 ,"160"                 ,"120"                 ,"0.29"
"1993-03-01" ,"5"           ,"Gisborne Region"          ,"60"           ,"762"          ,"60"           ,"130"         ,"121"                 ,"140"                 ,"110"                 ,"0.27"
"1993-03-01" ,"6"           ,"Hawke's Bay Region"       ,"240"          ,"2961"         ,"210"          ,"140"         ,"134"                 ,"160"                 ,"120"                 ,"0.23"
"1993-03-01" ,"7"           ,"Taranaki Region"          ,"162"          ,"2376"         ,"174"          ,"120"         ,"126"                 ,"150"                 ,"110"                 ,"0.29"
"1993-03-01" ,"8"           ,"Manawatu-Wanganui Region" ,"474"          ,"5718"         ,"387"          ,"130"         ,"127"                 ,"160"                 ,"105"                 ,"0.40"
"1993-03-01" ,"9"           ,"Wellington Region"        ,"882"          ,"12042"        ,"837"          ,"165"         ,"168"                 ,"210"                 ,"133"                 ,"0.38"
"1993-03-01" ,"12"          ,"West Coast Region"        ,"33"           ,"447"          ,"33"           ,"120"         ,"107"                 ,"130"                 ,"90"                  ,"0.33"
"1993-03-01" ,"13"          ,"Canterbury Region"        ,"924"          ,"10920"        ,"816"          ,"140"         ,"142"                 ,"180"                 ,"120"                 ,"0.34"
"1993-03-01" ,"14"          ,"Otago Region"             ,"441"          ,"5229"         ,"396"          ,"135"         ,"134"                 ,"170"                 ,"110"                 ,"0.44"
"1993-03-01" ,"15"          ,"Southland Region"         ,"132"          ,"1476"         ,"114"          ,"100"         ,"98"                  ,"120"                 ,"85"                  ,"0.28"
"1993-03-01" ,"16"          ,"Tasman Region"            ,"24"           ,"318"          ,"27"           ,"140"         ,"134"                 ,"153"                 ,"125"                 ,"0.24"
"1993-03-01" ,"17"          ,"Nelson Region"            ,"141"          ,"1227"         ,"117"          ,"150"         ,"148"                 ,"180"                 ,"130"                 ,"0.26"
"1993-03-01" ,"18"          ,"Marlborough Region"       ,"51"           ,"708"          ,"39"           ,"135"         ,"128"                 ,"150"                 ,"120"                 ,"0.27"
"1993-04-01" ,"-99"         ,"ALL"                      ,"6,957"        ,"97389"        ,"6,189"        ,"150"         ,"150"                 ,"185"                 ,"120"                 ,"0.38"
"1993-04-01" ,"-1"          ,"NA"                       ,"432"          ,"6333"         ,"384"          ,"130"         ,"125"                 ,"160"                 ,"100"                 ,"0.43"
